[31-07-2025 23:35:44,640] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.RespaldosSoporteApplication - Se inicia Respaldos para fecha 310725
[31-07-2025 23:35:48,104] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.RespaldosSoporteApplication - Archvios Encontrados: 1175
[31-07-2025 23:35:54,410] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 10%
[31-07-2025 23:35:54,457] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 10%
[31-07-2025 23:35:54,514] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 10%
[31-07-2025 23:35:54,561] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 10%
[31-07-2025 23:35:54,610] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 10%
[31-07-2025 23:35:54,658] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 10%
[31-07-2025 23:35:54,709] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 10%
[31-07-2025 23:35:54,760] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 10%
[31-07-2025 23:35:54,806] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 10%
[31-07-2025 23:35:54,856] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 10%
[31-07-2025 23:35:54,905] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 10%
[31-07-2025 23:35:54,962] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 10%
[31-07-2025 23:36:00,155] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 20%
[31-07-2025 23:36:00,200] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 20%
[31-07-2025 23:36:00,247] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 20%
[31-07-2025 23:36:00,295] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 20%
[31-07-2025 23:36:00,342] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 20%
[31-07-2025 23:36:00,389] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 20%
[31-07-2025 23:36:00,437] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 20%
[31-07-2025 23:36:00,486] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 20%
[31-07-2025 23:36:00,545] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 20%
[31-07-2025 23:36:00,606] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 20%
[31-07-2025 23:36:00,652] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 20%
[31-07-2025 23:36:00,700] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 20%
[31-07-2025 23:36:05,941] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 30%
[31-07-2025 23:36:05,990] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 30%
[31-07-2025 23:36:06,041] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 30%
[31-07-2025 23:36:06,086] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 30%
[31-07-2025 23:36:06,135] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 30%
[31-07-2025 23:36:06,181] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 30%
[31-07-2025 23:36:06,228] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 30%
[31-07-2025 23:36:06,275] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 30%
[31-07-2025 23:36:06,323] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 30%
[31-07-2025 23:36:06,373] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 30%
[31-07-2025 23:36:06,421] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 30%
[31-07-2025 23:36:06,480] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 30%
[31-07-2025 23:36:11,767] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 40%
[31-07-2025 23:36:11,825] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 40%
[31-07-2025 23:36:11,878] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 40%
[31-07-2025 23:36:11,933] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 40%
[31-07-2025 23:36:11,987] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 40%
[31-07-2025 23:36:12,035] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 40%
[31-07-2025 23:36:12,082] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 40%
[31-07-2025 23:36:12,128] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 40%
[31-07-2025 23:36:12,174] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 40%
[31-07-2025 23:36:12,222] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 40%
[31-07-2025 23:36:12,270] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 40%
[31-07-2025 23:36:12,316] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 40%
[31-07-2025 23:36:17,540] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 50%
[31-07-2025 23:36:17,585] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 50%
[31-07-2025 23:36:17,632] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 50%
[31-07-2025 23:36:17,678] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 50%
[31-07-2025 23:36:17,723] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 50%
[31-07-2025 23:36:17,768] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 50%
[31-07-2025 23:36:17,812] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 50%
